roi_index,sub,exp,alpha_M,R_M,D_M,rho_center,D_participation_ratio,D_explained_variance,D_feature
16,27,False,0.9632130419002788,0.9383371581422795,0.8180948693889306,0.12100532933285361,22.927684783935547,30,2456
17,27,False,0.9910141823061515,0.917688960294379,0.8015712811278254,0.12781191374126233,19.231769561767578,30,3994
18,27,False,1.02046421848781,0.9307797822702444,0.8183470337151366,0.09922732303017064,26.6556396484375,31,2902
19,27,False,1.008118017624338,0.9281709878916382,0.8132156331379313,0.08560422596178557,26.52466583251953,30,3349
20,27,False,0.9828515552170471,0.9688384070756776,0.7929714957022201,0.10976840571353311,24.870271682739258,29,1197
21,27,False,1.0228492497632475,0.9524628503149744,0.8026367597206235,0.09718597813656456,26.175209045410156,30,2369
22,27,False,1.0109573461135664,0.9463062292350459,0.799949707902028,0.08122345773797286,30.77345085144043,31,5616
1,28,False,1.0090145860253978,0.865425245620553,0.8216146565860616,0.13156668010510897,21.9689884185791,29,1518
2,28,False,1.0249332587927042,0.8579635134171115,0.8196940789170559,0.13466425443950453,22.86056900024414,29,2423
3,28,False,0.9686580672754859,0.9694740388090247,0.8009924035672041,0.1797256871273643,13.174373626708984,26,973
4,28,False,1.022911753832721,0.870558460960584,0.8215464520867479,0.10818641060277036,25.003389358520508,30,1230
5,28,False,0.9470724334996795,0.9331825895119532,0.8163219047152979,0.10629794472142269,23.474395751953125,29,1207
6,28,False,0.9555733099291579,0.9580730618971872,0.8314416089491967,0.09720465007581208,24.908357620239258,30,3525
7,28,False,0.9706435309978715,0.935427822750234,0.8150252007543957,0.08868012679250617,28.20003890991211,30,2784
8,28,False,1.0050934043923063,0.9424822887419531,0.8016905751889067,0.10146143059981497,25.034425735473633,30,2100
9,28,False,0.9593149121783265,1.0205736310560174,0.7872395496868507,0.14586996781198602,15.284196853637695,27,870
10,28,False,0.9948458356142079,0.9386477971505152,0.8200651539552224,0.104736328125,24.148221969604492,29,1004
11,28,False,0.9963332616299462,0.9392964195531102,0.8275354216843194,0.09833329853258635,24.848358154296875,30,2381
12,28,False,0.9727399801882272,0.9746317108752447,0.7916042860976946,0.20416711506090665,13.432730674743652,28,2404
13,28,False,0.9817153761593079,0.9555953999653097,0.8164034602528825,0.0903338582892167,29.22911262512207,31,2040
14,28,False,0.9606878138200496,0.9499838169565991,0.8130501228842058,0.09156973989386308,26.857942581176758,30,3536
15,28,False,0.9506212156061239,1.001829331936157,0.8053304840544937,0.10626306031879626,24.200969696044922,29,1182
16,28,False,1.0130458188697462,0.9055096826234728,0.8058908075286031,0.11303395723041736,22.797115325927734,30,2469
17,28,False,0.9917826857637261,0.9220502989102182,0.812892076992622,0.14379943044562088,20.57404899597168,30,4036
18,28,False,0.9373275122461922,0.9792797741704486,0.8334402965378928,0.10496707715486225,25.045654296875,30,2844
19,28,False,0.938292927245836,0.9762765981765872,0.8152352759723106,0.11096843920255962,19.06560516357422,30,3720
20,28,False,0.960585687513239,0.9978548226691972,0.7949301717882483,0.20631966841848273,7.938359260559082,26,1635
21,28,False,0.9377815373050353,0.9919356572369006,0.8013791365414159,0.11344628585012335,19.14181900024414,29,2284
22,28,False,0.9608840135586006,0.9681219601891151,0.804517822076218,0.1133517114739669,19.648164749145508,30,5560
